Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
2014-08-29,3749.9171,1525.7879,3294.5554,1731.7726,1893.97,1672.43,13365.0,610.9172,1287.32
2014-09-30,3697.3396,1433.4871,3169.7327,1603.7773,1881.11,1637.42,12615.85,574.2939,1208.15
2014-10-31,3787.6298,1527.9813,3124.3283,1622.8787,1899.6,1656.89,13749.9,539.5923,1172.94
2014-11-28,3889.4119,1529.3602,3168.3759,1605.7009,1913.08,1644.82,14071.2,482.1124,1167.38
2014-12-31,3879.4035,1572.9448,3060.0163,1533.1923,1914.87,1621.01,14247.97,418.1225,1184.37
2015-01-30,3762.9503,1522.3593,3075.7768,1542.2719,1955.02,1631.71,15126.47,389.6819,1283.79
2015-02-27,3979.1689,1612.7364,3260.6181,1589.6568,1936.64,1671.04,14666.73,421.2419,1213.18
2015-03-31,3916.2517,1640.831,3215.286,1567.294,1945.63,1661.89,14815.12,396.6492,1183.57
2015-04-30,3953.7713,1598.9852,3347.6523,1688.2238,1938.65,1681.95,14081.98,445.5848,1184.37
2015-05-29,4004.6217,1635.4909,3333.6956,1620.9461,1933.98,1687.05,14050.82,439.0937,1190.58
2015-06-30,3927.0995,1647.7379,3240.4303,1580.2174,1912.89,1661.94,13472.42,440.6926,1172.35
2015-07-31,4009.3894,1628.5919,3307.8883,1471.5218,1926.19,1652.26,14144.31,378.3843,1095.8
2015-08-31,3767.4351,1526.2504,3065.6037,1338.8909,1923.42,1623.48,13321.15,380.848,1134.93
2015-09-30,3674.231,1451.3692,2911.9546,1299.0785,1936.43,1581.23,13605.29,359.3369,1115.09
2015-10-30,3984.1605,1533.1423,3139.9647,1391.8268,1936.76,1624.7,14485.7,363.4441,1142.11
2015-11-30,3995.9735,1583.0144,3092.3575,1337.587,1931.64,1588.59,14461.0,336.1496,1064.77
2015-12-31,3932.5879,1503.527,3051.4502,1309.2563,1925.4,1548.58,14650.51,311.6524,1061.1
2016-01-29,3737.4311,1371.2892,2831.2671,1224.2745,1951.89,1523.69,14134.87,300.6679,1118.21
2016-02-29,3732.3522,1371.1349,2780.9443,1222.1014,1965.74,1532.4,14074.39,303.6298,1238.67
2016-03-31,3985.5385,1480.5666,2964.6076,1383.76,1983.77,1600.51,15505.92,323.4185,1232.75
2016-04-29,4000.9989,1503.8041,3052.9361,1391.5637,1991.39,1663.17,15224.7,360.407,1293.53
2016-05-31,4072.7916,1537.6673,3028.7306,1339.9134,1991.9,1673.44,15576.94,370.9456,1215.32
2016-06-30,4083.362,1536.6845,2928.3787,1394.7807,2027.69,1688.84,16654.7,374.0323,1321.9
2016-07-29,4233.8932,1628.4352,3076.8603,1468.4065,2040.51,1734.5,17302.42,339.3952,1351.28
2016-08-31,4239.8513,1657.2218,3080.0335,1505.3769,2038.18,1770.79,16701.17,348.2078,1308.97
2016-09-30,4240.5997,1675.6803,3119.4139,1525.2015,2036.98,1782.59,16453.83,364.4711,1315.87
2016-10-31,4163.2437,1596.0184,3056.2435,1528.9737,2021.4,1789.47,15613.01,361.623,1277.21
2016-11-30,4317.4348,1773.7749,2996.9265,1458.6355,1973.59,1780.98,15234.82,377.2212,1173.2
2016-12-30,4402.4424,1823.4503,3100.1112,1463.1038,1976.37,1813.85,15914.73,398.2039,1147.5
2017-01-31,4485.9406,1830.6217,3190.4323,1543.1673,1980.25,1840.19,15941.14,395.8302,1210.72
2017-02-28,4664.0562,1865.8777,3237.1273,1590.3275,1993.56,1866.97,16581.04,402.2199,1248.44
2017-03-31,4669.454,1868.3193,3330.711,1630.9811,1992.51,1862.81,16320.1,388.2245,1249.2
2017-04-28,4717.4142,1888.8073,3417.8368,1667.0498,2007.89,1884.32,16390.8,382.7658,1268.28
2017-05-31,4783.7977,1850.3816,3546.2258,1716.6061,2023.34,1900.7,16369.93,377.8538,1268.92
2017-06-30,4813.61,1914.3127,3541.1086,1735.0009,2021.31,1903.27,16691.26,372.3775,1241.61
2017-07-31,4912.5884,1928.5182,3643.6689,1839.7236,2030.01,1924.35,16902.42,388.0653,1269.44
2017-08-31,4927.6265,1903.9819,3643.5454,1881.4327,2048.21,1923.6,17010.94,386.0041,1321.43
2017-09-29,5029.233,2022.787,3736.2634,1874.3271,2038.46,1940.87,16876.0,399.3082,1279.75
2017-10-31,5146.5838,2040.0105,3793.4012,1940.1549,2039.64,1949.07,16897.51,415.1419,1271.45
2017-11-30,5304.4365,2098.7476,3834.2478,1944.1349,2037.02,1944.09,17346.02,424.2574,1275.01
2017-12-29,5362.9927,2090.1795,3896.8233,2015.9518,2046.37,1949.97,17295.16,442.4357,1302.8
2018-01-31,5669.9284,2144.7548,4092.7898,2183.7701,2022.8,1961.66,16785.79,456.533,1345.14
2018-02-28,5460.9362,2061.959,3909.3608,2082.6122,2003.63,1944.99,15565.26,443.3807,1318.31
2018-03-30,5322.1238,2088.6115,3843.8811,2044.5026,2016.48,1933.24,16142.71,452.9353,1325.48
2018-04-30,5342.5383,2106.6711,3935.1132,2035.7998,2001.48,1945.82,16226.79,475.7616,1315.39
2018-05-31,5471.1723,2234.5454,3849.7092,1964.1341,2015.76,1945.28,16811.27,481.4273,1298.51
2018-06-29,5504.8072,2250.524,3804.1282,1883.7717,2013.28,1953.09,17514.65,487.4372,1252.6
2018-07-31,5709.671,2289.6738,3898.3677,1926.7011,2013.76,1974.4,17621.03,464.8324,1224.15
2018-08-31,5895.7101,2388.2949,3824.3865,1874.9942,2026.72,1988.97,18110.35,468.6881,1201.15
2018-09-28,5929.2236,2330.8469,3859.7434,1865.627,2013.67,2000.04,17667.15,486.2794,1190.88
2018-10-31,5523.9477,2077.679,3552.8006,1703.3018,1997.76,1968.07,17199.79,456.3168,1214.76
2018-11-30,5636.5004,2110.5055,3549.3629,1773.5856,2009.68,1951.14,18017.18,406.5197,1220.52
2018-12-31,5127.3065,1859.6863,3378.1473,1728.0122,2046.6,1909.36,16595.65,374.3282,1282.49
2019-01-31,5538.18,2068.8383,3601.3509,1879.3124,2068.34,1995.67,18517.39,407.8907,1321.25
2019-02-28,5715.9996,2176.2006,3694.4579,1883.4326,2067.14,2028.86,18617.67,426.3466,1313.32
2019-03-29,5827.0348,2130.6366,3722.7828,1899.7761,2106.83,2047.94,19445.86,434.1253,1292.38
2019-04-30,6062.9671,2203.0152,3830.4329,1940.1282,2107.37,2077.06,19400.8,446.4518,1283.53
2019-05-31,5677.6724,2031.6812,3651.018,1799.8483,2144.78,2052.37,19525.76,407.7638,1305.58
2019-06-28,6077.7783,2175.238,3869.1851,1913.6271,2171.71,2099.15,19793.88,425.3581,1409.55
2019-07-31,6165.1325,2187.697,3820.8039,1891.529,2176.49,2110.98,20098.76,422.4391,1413.78
2019-08-30,6067.4764,2079.6505,3723.1414,1799.7657,2232.89,2119.43,20931.02,397.0581,1520.38
2019-09-30,6180.9658,2122.919,3832.0697,1834.6846,2221.0,2127.15,21323.97,403.6126,1472.49
2019-10-31,6314.8288,2178.8289,3970.0856,1912.2245,2227.69,2133.02,21554.83,407.5104,1512.99
2019-11-29,6544.0565,2268.248,4016.0382,1909.7118,2226.55,2139.99,21222.26,409.1913,1463.98
2019-12-31,6741.0931,2333.6298,4147.4814,2053.272,2225.0,2182.77,21352.44,436.2189,1517.27
2020-01-31,6738.1313,2258.728,4061.5413,1957.5933,2267.82,2183.35,21622.6,388.8018,1589.16
2020-02-28,6183.439,2068.462,3693.9706,1854.6171,2308.64,2152.56,20103.47,358.4439,1585.69
2020-03-31,5419.6698,1619.0147,3204.5665,1569.4098,2295.05,1905.89,16347.2,255.5416,1577.18
2020-04-30,6114.4384,1841.4072,3416.3467,1713.4485,2335.85,1991.76,17790.6,257.0446,1686.5
2020-05-29,6405.6685,1961.2361,3566.9189,1726.9507,2346.72,2079.5,18094.9,307.0756,1730.27
2020-06-30,6533.0222,2030.5583,3690.1814,1854.6769,2361.51,2099.86,18512.81,325.483,1780.96
2020-07-31,6901.3664,2086.7614,3777.4384,2021.8646,2396.78,2198.3,19219.32,339.821,1975.86
2020-08-31,7397.4544,2204.3367,3972.9395,2067.0888,2377.43,2219.2,19245.57,358.2109,1967.8
2020-09-30,7116.3373,2130.7022,3872.2649,2034.2527,2376.13,2196.37,18733.04,350.178,1885.82
2020-10-30,6927.0868,2175.3262,3717.8934,2076.4743,2365.52,2207.52,18104.61,340.7799,1878.81
2020-11-30,7685.3387,2576.0446,4294.5681,2268.6373,2388.73,2294.85,19774.43,385.594,1776.95
